iter	MultiClass
0	3.623465536
1	3.585980873
2	3.551472509
3	3.519429082
4	3.489693046
5	3.461550318
6	3.434920794
7	3.408285956
8	3.384262971
9	3.361368247
10	3.339580144
11	3.318509922
12	3.298461663
13	3.279131285
14	3.260511574
15	3.241512613
16	3.224001801
17	3.207012601
18	3.190891234
19	3.175498568
20	3.160470726
21	3.145833144
22	3.131727423
23	3.117993929
24	3.103981977
25	3.09105178
26	3.078321079
27	3.06608086
28	3.053520423
29	3.041850218
30	3.03052168
31	3.019598587
32	3.008520035
33	2.99814266
34	2.987920744
35	2.977948054
36	2.968180745
37	2.958594898
38	2.948769505
39	2.939718558
40	2.93071886
41	2.922052667
42	2.913665122
43	2.90476223
44	2.896405626
45	2.888424665
46	2.880432695
47	2.872549868
48	2.864517847
49	2.857101206
50	2.849861853
51	2.842742082
52	2.835217247
53	2.827959292
54	2.821228832
55	2.814160881
56	2.807316153
57	2.800872314
58	2.794177729
59	2.788054108
60	2.782078922
61	2.776184787
62	2.770407389
63	2.764759254
64	2.759000837
65	2.753500188
66	2.748152341
67	2.742810568
68	2.737511882
69	2.732316077
70	2.727344063
71	2.722379073
72	2.717121957
73	2.712002267
74	2.706917124
75	2.702305379
76	2.697491671
77	2.693054935
78	2.688334047
79	2.684005886
80	2.679720053
81	2.675442573
82	2.671231148
83	2.667183153
84	2.663230446
85	2.659295961
86	2.6551523
87	2.651332463
88	2.647619492
89	2.643595604
90	2.639690541
91	2.635880764
92	2.63214008
93	2.628594337
94	2.625099653
95	2.621523349
96	2.617943628
97	2.614643125
98	2.611110289
99	2.607697795
100	2.604295551
101	2.600914946
102	2.597645193
103	2.594387778
104	2.591186928
105	2.588229801
106	2.585157645
107	2.582228041
108	2.579194228
109	2.576274494
110	2.573423093
111	2.570604151
112	2.567861514
113	2.565060604
114	2.562261403
115	2.559526358
116	2.556840097
117	2.554139599
118	2.551531162
119	2.548972266
120	2.546510745
121	2.544001011
122	2.541520889
123	2.539094294
124	2.536760329
125	2.534424845
126	2.532042857
127	2.529753499
128	2.527456548
129	2.525237041
130	2.523107317
131	2.520957472
132	2.518858308
133	2.516715867
134	2.51466036
135	2.512631808
136	2.510647672
137	2.508658031
138	2.506737103
139	2.504830981
140	2.502948776
141	2.501019496
142	2.499181328
143	2.497340882
144	2.495516001
145	2.493738763
146	2.491965132
147	2.490218644
148	2.488477092
149	2.486880748
150	2.485263524
151	2.483620485
152	2.482002692
153	2.480345418
154	2.47877299
155	2.477161651
156	2.475520131
157	2.473967444
158	2.472469045
159	2.470998169
160	2.469532038
161	2.468034208
162	2.466566748
163	2.465140668
164	2.463765838
165	2.462351337
166	2.460928294
167	2.459461973
168	2.458108972
169	2.456772295
170	2.455478326
171	2.454158732
172	2.452881088
173	2.45159642
174	2.450327317
175	2.449073589
176	2.447887435
177	2.44674323
178	2.445490262
179	2.44431265
180	2.443181352
181	2.442020254
182	2.440907369
183	2.439772085
184	2.438671918
185	2.437436792
186	2.436347443
187	2.435223359
188	2.434170455
189	2.433168422
190	2.43211343
191	2.431096402
192	2.429958841
193	2.428953011
194	2.427954774
195	2.426944958
196	2.426027962
197	2.425047568
198	2.42406053
199	2.423077288
200	2.422147764
201	2.421183504
202	2.420294411
203	2.419359192
204	2.418542798
205	2.41756601
206	2.416609153
207	2.415641096
208	2.414750295
209	2.413783757
210	2.41294914
211	2.412030815
212	2.411206449
213	2.410397647
214	2.409548605
215	2.408798456
216	2.408054002
217	2.407269686
218	2.406441903
219	2.405663472
220	2.404841573
221	2.404061813
222	2.40324428
223	2.402539876
224	2.401850658
225	2.401074884
226	2.40028886
227	2.399533776
228	2.398878345
229	2.398172044
230	2.397446571
231	2.396819802
232	2.396192653
233	2.39556987
234	2.394817823
235	2.394166758
236	2.393310692
237	2.392678988
238	2.392048043
239	2.391410644
240	2.390765083
241	2.390146856
242	2.389511355
243	2.388883637
244	2.388282873
245	2.38770128
246	2.386994029
247	2.386360806
248	2.385726065
249	2.385134032
250	2.38443836
251	2.383909346
252	2.383254674
253	2.382651062
254	2.382073076
255	2.381371709
256	2.380747598
257	2.380169042
258	2.379555749
259	2.378878869
260	2.378245646
261	2.377757822
262	2.377213622
263	2.376708714
264	2.37610757
