iter	Passed	Remaining
0	626	1252726
1	1235	1234485
2	1853	1233860
3	2465	1230310
4	3085	1231290
5	3681	1223341
6	4311	1227532
7	4933	1228424
8	5554	1228728
9	6167	1227370
10	6782	1226347
11	7395	1225120
12	8017	1225418
13	8596	1219453
14	9214	1219431
15	9795	1214700
16	10389	1211857
17	10960	1206855
18	11552	1204492
19	12158	1203663
20	12793	1205667
21	13412	1205938
22	14033	1206308
23	14620	1203733
24	15185	1199626
25	15809	1200300
26	16402	1198561
27	17035	1199756
28	17619	1197532
29	18236	1197541
30	18861	1198025
31	19475	1197744
32	20067	1196131
33	20673	1195405
34	21308	1196301
35	21964	1198269
36	22559	1196884
37	23192	1197466
38	23797	1196562
39	24419	1196551
40	25025	1195731
41	25657	1196125
42	26281	1196121
43	26855	1193831
44	27430	1191716
45	28053	1191650
46	28653	1190633
47	29252	1189586
48	29858	1188849
49	30478	1188665
50	31104	1188660
51	31701	1187593
52	32266	1185344
53	32906	1185868
54	33523	1185499
55	34148	1185432
56	34721	1183576
57	35328	1182881
58	35921	1181749
59	36541	1181510
60	37168	1181458
61	37767	1180544
62	38359	1179399
63	38963	1178641
64	39579	1178243
65	40188	1177656
66	40827	1177912
67	41462	1178031
68	42112	1178543
69	42728	1178085
70	43324	1177096
71	43918	1176050
72	44479	1174146
73	45097	1173764
74	45673	1172281
75	46272	1171415
76	46862	1170340
77	47464	1169583
78	48054	1168510
79	48628	1167094
80	49295	1167881
81	49875	1166608
82	50461	1165468
83	51110	1165808
84	51756	1166051
85	52386	1165897
86	53006	1165525
87	53611	1164836
88	54202	1163821
89	54795	1162889
90	55381	1161794
91	55968	1160732
92	56560	1159799
93	57155	1158920
94	57754	1158129
95	58308	1156460
96	58894	1155430
97	59462	1154066
98	60025	1152603
99	60609	1151571
100	61160	1149930
101	61732	1148712
102	62272	1146903
103	62847	1145751
104	63428	1144730
105	64013	1143782
106	64596	1142809
107	65130	1140982
108	65690	1139640
109	66237	1138078
110	66818	1137122
111	67358	1135466
112	67972	1135084
113	68543	1133976
114	69192	1134151
115	69763	1133057
116	70343	1132113
117	70908	1130938
118	71471	1129733
119	72091	1129427
120	72694	1128868
121	73305	1128422
122	73851	1126985
123	74484	1126873
124	75041	1125618
125	75652	1125177
126	76243	1124444
127	76814	1123417
128	77456	1123421
129	78065	1122946
130	78629	1121825
131	79187	1120621
132	79782	1119957
133	80338	1118742
134	80932	1118062
135	81538	1117555
136	82083	1116222
137	82659	1115308
138	83208	1114037
139	83785	1113155
140	84364	1112289
141	84946	1111481
142	85498	1110290
143	86082	1109512
144	86674	1108838
145	87240	1107840
146	87799	1106749
147	88382	1105972
148	88929	1104754
149	89490	1103716
150	90085	1103095
151	90647	1102080
152	91280	1101932
153	91880	1101370
154	92427	1100181
155	92999	1099297
156	93603	1098798
157	94136	1097467
158	94793	1097580
159	95330	1096302
160	95913	1095556
161	96520	1095090
162	97109	1094419
163	97711	1093892
164	98268	1092870
165	98898	1092649
166	99489	1092004
167	100031	1090816
168	100572	1089637
169	101116	1088494
170	101653	1087272
171	102209	1086271
172	102754	1085157
173	103293	1083990
174	103846	1082972
175	104374	1081699
176	104901	1080429
177	105478	1079676
178	106062	1078995
179	106608	1077931
180	107184	1077170
181	107819	1077008
182	108332	1075631
183	108868	1074483
184	109430	1073601
185	110023	1073029
186	110606	1072348
187	111161	1071407
188	111678	1070108
189	112387	1070635
190	112917	1069467
191	113464	1068453
192	114074	1068045
193	114670	1067500
194	115221	1066535
195	115776	1065619
196	116391	1065246
197	116949	1064355
198	117461	1063060
199	118013	1062120
200	118541	1060976
201	119199	1060997
202	119757	1060123
203	120316	1059257
204	120876	1058410
205	121476	1057905
206	122048	1057165
207	122638	1056573
208	123272	1056369
209	123815	1055381
210	124465	1055302
211	125020	1054415
212	125628	1053983
213	126213	1053349
214	126734	1052187
215	127279	1051230
216	127831	1050340
217	128346	1049148
218	128985	1048962
219	129617	1048726
220	130289	1048798
221	130857	1048041
222	131421	1047246
223	131999	1046566
224	132563	1045781
225	133149	1045163
226	133787	1044960
227	134375	1044358
228	134929	1043490
229	135544	1043103
230	136161	1042723
231	136723	1041928
232	137274	1041046
233	137843	1040309
234	138466	1039974
235	139150	1040090
236	139732	1039445
237	140304	1038727
238	140918	1038315
239	141466	1037419
240	142066	1036908
241	142652	1036296
242	143223	1035569
243	143811	1034973
244	144406	1034423
245	145054	1034248
246	145641	1033642
247	146270	1033330
248	146872	1032825
249	147474	1032322
250	148067	1031750
251	148729	1031661
252	149358	1031342
253	149998	1031091
254	150537	1030146
255	151126	1029551
256	151711	1028923
257	152295	1028289
258	152858	1027515
259	153393	1026555
260	153956	1025785
261	154613	1025642
262	155167	1024811
263	155819	1024629
264	156414	1024073
265	156950	1023130
266	157537	1022519
267	158111	1021824
268	158716	1021333
269	159279	1020565
270	159873	1020003
271	160434	1019228
272	160968	1018289
273	161606	1018001
274	162211	1017510
275	162850	1017222
276	163418	1016495
277	163942	1015502
278	164584	1015235
279	165135	1014401
280	165642	1013308
281	166260	1012892
282	166848	1012295
283	167402	1011488
284	168030	1011133
285	168640	1010664
286	169289	1010428
287	169899	1009958
288	170513	1009510
289	171076	1008761
290	171652	1008087
291	172285	1007750
292	172812	1006795
293	173449	1006478
294	174025	1005808
295	174640	1005365
296	175260	1004947
297	175839	1004289
298	176459	1003872
299	177100	1003571
300	177636	1002671
301	178204	1001956
302	178770	1001234
303	179372	1000707
304	180004	1000351
305	180676	1000213
306	181344	1000053
307	181972	999667
